Time (d),U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754.2481066299715,2217.280715969992,493.45201977060793,266.3969787485668,0.023547893445250375,18.290438956935038,2.556883145751781,16.516105144509424
330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.5015367351457,2203.440229537476,487.4718720413019,264.95982688620893,0.023420879368903764,18.582541610624414,2.7209408477245356,16.978377505913755
340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592.5412977812016,2189.4775726321495,481.6112195080254,263.5201406432276,0.02329363748005707,18.86096881149895,2.8843005459175504,17.427712837718893
350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3514.3673897681388,2175.3927452540124,475.8700621707785,262.07792001962287,0.023166167778710285,19.12572055955864,3.0469622403308256,17.86411113992485
360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.979812695958,2161.185747403065,470.2484000295613,260.63316501539475,0.02303847026486342,19.37679685480349,3.2089259309643605,18.287572412531617
370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3363.1756240380105,2146.900678765246,464.7262332222903,259.18810268835114,0.022910749951495033,19.61646198749392,3.3693096568013967,18.6993681024401
380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.9448416552455,2132.539708472894,459.3025780152572,257.742842580839,0.022783016922583544,19.844827331330674,3.528070036803706,19.099560748340284
390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3218.3091142886983,2118.098132225257,453.9795678786723,256.2971471231458,0.022655249308524014,20.061651344857236,3.685301153497854,19.488014719592552
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3148.238727347495,2103.582407043181,448.7542744577487,254.85134239828966,0.022527477127060307,20.267265562620935,3.8408738712550883,19.864916179861563
410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.7067400076785,2088.998383315447,443.6240440872174,253.40572375903383,0.022399727177002202,20.461970446527037,3.9946712920351857,20.23043395208568
420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.7067400076785,2088.998383315447,443.6240440872174,253.40572375903383,0.022399727177002202,20.461970446527037,3.9946712920351857,20.23043395208568
430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.7067400009137,2088.998383313984,443.03529763571663,253.4057237588892,2.240303960551009e-12,21.04980631072636,3.9946712920509,20.25283367929633
440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.706739994146,2088.9983833125198,442.44793947614977,253.40572375874407,2.2405061424391155e-12,21.636208098828185,3.9946712920679692,20.252833679332227
450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.70673998738,2088.998383311056,441.8622922873212,253.40572375859864,2.2405046536702447e-12,22.220842495063234,3.994671292086707,20.25283367936812
460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.706739980613,2088.998383309592,441.2766450984927,253.4057237584532,2.2405031649013746e-12,22.805476891298287,3.994671292105447,20.252833679404016
470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.7067399738457,2088.9983833081283,440.6909979096641,253.40572375830777,2.2405016761325037e-12,23.39011128753334,3.9946712921241847,20.252833679439913
480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.7067399738457,2088.9983833081283,440.6909979096641,253.40572375830777,2.240501676132504e-12,23.39011128753334,3.9946712921241847,20.252833679439913
490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012.7883425593786,2074.3301950743385,435.74488817934173,251.9507404023145,0.022269616670942894,23.512454661643055,4.184106239354967,20.5841364650613
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2947.733655240347,2059.594782019091,430.9085801328768,250.49734400847393,0.02214270893070591,23.623535385009646,4.368705297234504,20.924058813436318
510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.0480768769794,2044.8178554810506,426.15180156462395,249.04557442434262,0.02201463391646256,23.72649537230691,4.549605631187331,21.253812616412084
520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821.4717070651686,2030.028930715428,421.45662587005603,247.5963732703269,0.021888040262783428,23.823280943509605,4.727133605911714,21.57520797728202
530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.196674758227,2015.2057346193824,416.83636452817046,246.14901820900567,0.021760919034747035,23.91244480195916,4.901055848740905,21.886909317879525
540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.2229799561537,2000.3482671929132,412.2910175389672,244.70350924037893,0.021633270232353397,23.993986947655582,5.0713723596749,22.188916638204613
550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2641.55062265895,1985.4565284360206,407.8205849024462,243.2598463644466,0.02150509385560251,24.067907380598875,5.2380831387137015,22.481229938257282
560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584.179602866615,1970.5305183487042,403.4250666186075,241.8180295812088,0.021376389904494364,24.134206100789033,5.401188185857309,22.763849218037524
570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2527.952072565238,1955.6030019446364,399.09197303647466,240.37947093730136,0.02124847830429217,24.194325014132218,5.560658387247643,23.037803595699824
580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.8342783221983,1940.6809855310478,394.81863343132807,238.94447237773963,0.021121641301236047,24.248572450601312,5.716487517322385,23.303313132741454
590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.9269671734596,1925.743556725648,390.61301936571647,237.51213265891792,0.0209950364485022,24.296028108809026,5.868694158101257,23.559720990972643
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.2301391190213,1910.7907155284367,386.47513083964003,236.0824517808362,0.02086866374609063,24.33669198875535,6.017278309584256,23.807027170393383
610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.743794158884,1895.8224619394148,382.4049678530986,234.65542974349452,0.02074252319400133,24.370564090440297,6.162239971771383,24.045231671003673
620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.4664127056385,1880.8390815733449,378.40241679732026,233.23107828265154,0.020616615947749283,24.397657596387052,6.303579625459182,24.274344657661125
630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.183875494603,1865.8808193170455,374.4514694936695,231.8110510392917,0.02049110482654097,24.419830005648237,6.4413650178543485,24.49579842167321
640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2167.003997251444,1850.9274108031873,370.56018648443603,230.3945153613444,0.020365907846589884,24.43614601821205,6.57556203644246,24.708871766399252
650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.926777976162,1835.9788560317702,366.7285677696199,228.9814712488097,0.02024102500789604,24.446605634078484,6.706170681223514,24.913564691839262
660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.926777976162,1835.9788560317702,366.7285677696199,228.9814712488097,0.02024102500789604,24.446605634078484,6.706170681223514,24.913564691839262
670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779715,1835.978856030275,366.2418715551082,228.98147124866858,2.0243745644720935e-12,24.93221871629209,6.706170681236714,24.933805716865194
680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779668426,1835.9788560287814,365.75636240540985,228.98147124852713,2.0245572681069748e-12,25.416605612742824,6.70617068125107,24.93380571688525
690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779621846,1835.978856027288,365.2723752107484,228.9814712483854,2.0245560251215496e-12,25.899420400857018,6.70617068126691,24.93380571690532
700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779575266,1835.9788560257941,364.788388016087,228.9814712482436,2.0245547821361253e-12,26.382235188971208,6.70617068128275,24.933805716925377
710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779528686,1835.9788560243005,364.3044008214256,228.98147124810177,2.0245535391507006e-12,26.865049977085402,6.706170681298591,24.933805716945436
720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.9267779482107,1835.9788560228071,363.8209229072093,228.9814712479599,2.024553657188779e-12,27.34733870298327,6.706170681314927,24.933805716965498
