U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
7.3909E-02	8.3765E-02	9.8462E-02	7.4396E-02	7.5555E-02	7.3069E-02	3.6762E-02	9.6070E-02	2.7534E-02	7.2859E-02	1.4295E-01	2.6447E-02	7.4256E-02	1.04E-01	8.71E-02	2.17E-02	1.59E-01	2.58E-02	1.20E-01
7.7296E-02	8.6865E-02	1.0805E-01	7.5545E-02	8.0773E-02	7.6569E-02	4.1047E-02	1.0485E-01	3.0310E-02	7.8009E-02	1.5054E-01	2.8239E-02	7.5769E-02	1.07E-01	9.06E-02	2.45E-02	1.64E-01	2.72E-02	1.29E-01
8.1267E-02	8.9783E-02	1.1943E-01	7.6638E-02	8.6260E-02	8.0175E-02	4.5557E-02	1.1176E-01	3.3177E-02	8.3407E-02	1.5805E-01	3.0146E-02	7.7311E-02	1.10E-01	9.42E-02	2.72E-02	1.74E-01	2.87E-02	1.39E-01
8.5882E-02	9.2556E-02	1.3141E-01	7.7678E-02	9.1842E-02	8.3626E-02	5.0269E-02	1.1832E-01	3.6138E-02	8.9377E-02	1.6601E-01	3.2066E-02	7.8863E-02	1.11E-01	9.77E-02	2.98E-02	1.90E-01	3.02E-02	1.49E-01
9.1271E-02	9.5197E-02	1.4295E-01	7.8667E-02	9.9952E-02	8.7048E-02	5.5249E-02	1.2841E-01	3.9233E-02	9.5917E-02	1.7468E-01	3.4049E-02	8.0393E-02	1.12E-01	1.01E-01	3.22E-02	2.11E-01	3.17E-02	1.61E-01
9.8066E-02	9.8300E-02	1.5309E-01	7.9609E-02	1.0831E-01	9.0383E-02	6.0393E-02	1.3909E-01	4.2414E-02	1.0330E-01	1.8500E-01	3.6180E-02	8.1933E-02	1.12E-01	1.05E-01	3.46E-02	2.36E-01	3.34E-02	1.75E-01
1.1160E-01	1.0377E-01	1.6624E-01	8.0934E-02	1.2007E-01	9.5078E-02	6.8627E-02	1.5901E-01	4.7451E-02	1.1568E-01	2.0092E-01	3.9634E-02	8.4319E-02	1.12E-01	1.12E-01	3.78E-02	2.79E-01	3.59E-02	1.98E-01
1.2589E-01	1.0838E-01	1.7760E-01	8.2475E-02	1.3097E-01	9.9201E-02	7.6638E-02	1.7635E-01	5.2367E-02	1.2780E-01	2.1324E-01	4.3167E-02	8.6800E-02	1.11E-01	1.15E-01	4.27E-02	3.23E-01	3.84E-02	2.22E-01
1.3576E-01	1.1101E-01	1.8437E-01	8.4239E-02	1.2793E-01	1.0194E-01	8.2387E-02	1.8583E-01	5.5889E-02	1.3583E-01	2.1574E-01	4.5992E-02	8.8998E-02	1.11E-01	1.18E-01	4.99E-02	3.55E-01	4.05E-02	2.38E-01
1.4632E-01	1.1374E-01	1.8954E-01	8.6158E-02	1.2582E-01	1.0485E-01	8.8918E-02	1.9558E-01	5.9915E-02	1.4438E-01	2.1669E-01	4.9233E-02	9.1443E-02	1.11E-01	1.23E-01	5.41E-02	3.91E-01	4.29E-02	2.57E-01
1.5526E-01	1.1665E-01	1.9307E-01	8.8032E-02	1.2274E-01	1.0747E-01	9.5150E-02	2.0472E-01	6.3780E-02	1.5148E-01	2.1756E-01	5.2682E-02	9.3773E-02	1.11E-01	1.25E-01	5.21E-02	4.27E-01	4.56E-02	2.74E-01
1.6105E-01	1.2002E-01	1.9625E-01	8.9858E-02	1.2101E-01	1.1005E-01	1.0178E-01	2.1564E-01	6.7896E-02	1.5880E-01	2.1916E-01	5.6140E-02	9.6169E-02	1.12E-01	1.27E-01	5.00E-02	4.62E-01	4.82E-02	2.90E-01
1.6359E-01	1.2369E-01	1.9890E-01	9.1837E-02	1.1382E-01	1.1258E-01	1.0859E-01	2.2883E-01	7.2269E-02	1.6573E-01	2.2242E-01	6.0457E-02	9.8668E-02	1.15E-01	1.28E-01	4.81E-02	5.00E-01	5.10E-02	3.06E-01
1.6466E-01	1.2773E-01	2.0035E-01	9.3762E-02	1.2067E-01	1.1498E-01	1.1583E-01	2.4420E-01	7.6934E-02	1.7283E-01	2.2602E-01	6.4741E-02	1.0145E-01	1.18E-01	1.28E-01	4.62E-02	5.36E-01	5.41E-02	3.20E-01
1.6488E-01	1.3172E-01	1.9995E-01	9.5723E-02	1.2359E-01	1.1726E-01	1.2291E-01	2.6100E-01	8.1550E-02	1.7928E-01	2.2976E-01	6.9431E-02	1.0449E-01	1.21E-01	1.28E-01	4.82E-02	5.71E-01	5.73E-02	3.33E-01
1.6465E-01	1.3563E-01	1.9705E-01	9.7835E-02	1.0739E-01	1.1943E-01	1.2924E-01	2.7900E-01	8.5787E-02	1.8411E-01	2.3399E-01	7.5065E-02	1.0762E-01	1.23E-01	1.28E-01	5.73E-02	6.03E-01	6.07E-02	3.45E-01
1.6452E-01	1.3918E-01	1.9342E-01	9.9848E-02	1.0986E-01	1.2150E-01	1.3586E-01	2.9934E-01	9.0223E-02	1.8900E-01	2.3830E-01	8.0451E-02	1.1090E-01	1.26E-01	1.28E-01	6.60E-02	6.34E-01	6.44E-02	3.57E-01
1.6497E-01	1.4245E-01	1.8993E-01	1.0190E-01	1.1541E-01	1.2350E-01	1.4285E-01	3.2080E-01	9.4989E-02	1.9408E-01	2.4156E-01	8.5392E-02	1.1420E-01	1.28E-01	1.28E-01	7.44E-02	6.62E-01	6.82E-02	3.70E-01
1.6577E-01	1.4567E-01	1.8709E-01	1.0418E-01	1.1365E-01	1.2541E-01	1.5030E-01	3.4581E-01	1.0027E-01	1.9940E-01	2.4230E-01	9.0378E-02	1.1766E-01	1.31E-01	1.28E-01	8.24E-02	6.86E-01	7.23E-02	3.83E-01
1.6660E-01	1.4877E-01	1.8454E-01	1.0637E-01	1.0864E-01	1.2774E-01	1.5815E-01	3.7305E-01	1.0586E-01	2.0488E-01	2.4287E-01	9.7292E-02	1.2122E-01	1.33E-01	1.29E-01	8.99E-02	7.08E-01	7.67E-02	3.96E-01
1.6747E-01	1.5184E-01	1.8226E-01	1.0846E-01	1.0828E-01	1.3047E-01	1.6640E-01	4.0219E-01	1.1175E-01	2.1050E-01	2.4343E-01	1.0267E-01	1.2487E-01	1.35E-01	1.30E-01	9.71E-02	7.30E-01	8.13E-02	4.10E-01
1.6881E-01	1.5725E-01	1.8061E-01	1.1150E-01	1.0591E-01	1.3542E-01	1.7577E-01	4.4698E-01	1.1918E-01	2.1770E-01	2.4579E-01	1.0970E-01	1.3076E-01	1.40E-01	1.30E-01	1.05E-01	7.57E-01	8.92E-02	4.34E-01
1.7070E-01	1.6525E-01	1.8246E-01	1.1527E-01	1.0646E-01	1.4344E-01	1.8703E-01	5.0718E-01	1.2872E-01	2.2728E-01	2.4965E-01	1.1812E-01	1.3904E-01	1.46E-01	1.30E-01	1.14E-01	7.87E-01	9.96E-02	4.67E-01
1.7225E-01	1.7280E-01	1.8536E-01	1.1799E-01	1.0645E-01	1.5030E-01	1.9609E-01	5.5219E-01	1.3668E-01	2.3934E-01	2.5275E-01	1.2567E-01	1.4546E-01	1.50E-01	1.30E-01	1.21E-01	8.08E-01	1.07E-01	4.94E-01
1.7339E-01	1.8007E-01	1.8753E-01	1.2017E-01	1.0679E-01	1.5588E-01	2.0318E-01	5.8234E-01	1.4391E-01	2.5111E-01	2.5576E-01	1.3074E-01	1.5019E-01	1.54E-01	1.31E-01	1.28E-01	8.26E-01	1.13E-01	5.13E-01
1.7533E-01	1.9072E-01	1.9107E-01	1.2329E-01	1.0834E-01	1.6564E-01	2.1450E-01	6.2291E-01	1.5581E-01	2.7211E-01	2.6041E-01	1.3540E-01	1.5719E-01	1.60E-01	1.34E-01	1.37E-01	8.54E-01	1.21E-01	5.43E-01
1.7856E-01	2.0775E-01	1.9612E-01	1.2712E-01	1.1518E-01	1.8041E-01	2.3044E-01	6.6301E-01	1.7512E-01	3.0842E-01	2.6772E-01	1.4567E-01	1.6731E-01	1.71E-01	1.37E-01	1.49E-01	9.00E-01	1.30E-01	5.84E-01
1.8063E-01	2.1773E-01	1.9902E-01	1.2915E-01	1.1573E-01	1.8950E-01	2.3950E-01	6.8080E-01	1.8807E-01	3.2948E-01	2.7179E-01	1.4758E-01	1.7273E-01	1.79E-01	1.39E-01	1.55E-01	9.25E-01	1.35E-01	6.08E-01
1.8096E-01	2.1943E-01	1.9941E-01	1.2972E-01	1.1566E-01	1.9082E-01	2.4023E-01	6.8324E-01	1.8941E-01	3.3223E-01	2.7250E-01	1.4869E-01	1.7361E-01	1.80E-01	1.39E-01	1.56E-01	9.29E-01	1.35E-01	6.11E-01
1.8124E-01	2.2094E-01	1.9973E-01	1.3028E-01	1.1557E-01	1.9204E-01	2.4072E-01	6.8531E-01	1.9044E-01	3.3448E-01	2.7313E-01	1.4986E-01	1.7439E-01	1.80E-01	1.40E-01	1.56E-01	9.33E-01	1.36E-01	6.14E-01
1.8197E-01	2.2473E-01	2.0054E-01	1.3168E-01	1.1536E-01	1.9533E-01	2.4192E-01	6.9060E-01	1.9301E-01	3.4023E-01	2.7469E-01	1.5278E-01	1.7655E-01	1.82E-01	1.40E-01	1.58E-01	9.43E-01	1.38E-01	6.22E-01
