U235,U236,U237,U239,Np238,Pu239,Pu240,Pu241,Pu242,Pu243,Am242,Am243
0.35646,0.23546,0.18319,0.36979,0.29108,0.21616,0.26583,0.25705,0.1678,0.20387,0.20079,0.97682
0.36512,0.23683,0.18742,0.3871,0.29866,0.22073,0.27381,0.26286,0.17123,0.20612,0.2067,1.0222
0.37348,0.23755,0.19197,0.40457,0.30667,0.22604,0.28203,0.26961,0.17559,0.20826,0.21435,1.0708
0.38189,0.23962,0.19827,0.42255,0.3154,0.23109,0.29039,0.27841,0.18014,0.21029,0.22162,1.1216
0.38994,0.2429,0.20445,0.4406,0.32378,0.23591,0.29898,0.28701,0.18589,0.21223,0.2286,1.1743
0.39746,0.24736,0.21033,0.45815,0.33243,0.24071,0.30766,0.29518,0.19235,0.21407,0.23586,1.2283
0.40391,0.25495,0.21591,0.47678,0.34168,0.24642,0.31669,0.30296,0.1991,0.21582,0.24293,1.2834
0.41445,0.27094,0.22504,0.50756,0.35845,0.25592,0.33277,0.31553,0.21162,0.21873,0.25449,1.3797
0.44002,0.3002,0.23957,0.55213,0.37755,0.26718,0.35791,0.33327,0.23193,0.22522,0.27362,1.514
0.47173,0.32171,0.25067,0.58434,0.38867,0.2762,0.37803,0.34814,0.24751,0.23034,0.29311,1.6071
0.48964,0.33231,0.25602,0.5998,0.39402,0.28156,0.38787,0.35482,0.2555,0.23267,0.30366,1.6523
0.54633,0.34832,0.26524,0.62666,0.40279,0.29149,0.4061,0.36611,0.26905,0.2362,0.31803,1.7248
0.59531,0.36782,0.2763,0.66022,0.41321,0.30507,0.42974,0.3798,0.28699,0.24123,0.33493,1.8127
0.56226,0.39494,0.29313,0.72529,0.42563,0.32825,0.46784,0.40183,0.3207,0.25751,0.36576,1.9404
0.55264,0.42305,0.3112,0.80722,0.43905,0.35488,0.51085,0.42225,0.35958,0.28202,0.3986,2.0747
0.60943,0.44613,0.32575,0.88474,0.44978,0.37774,0.54616,0.44446,0.41907,0.30781,0.42542,2.179
0.65348,0.4757,0.34552,0.97739,0.4623,0.40632,0.58984,0.46984,0.51325,0.3548,0.51614,2.3011
0.5992,0.51336,0.36993,1.0915,0.47764,0.43904,0.6514,0.50131,0.54346,0.40601,0.57334,2.3915
0.63819,0.54675,0.39146,1.1967,0.49106,0.47584,0.69301,0.52948,0.5771,0.44401,0.5944,2.4537
0.69527,0.57253,0.40646,1.3001,0.50114,0.51552,0.72457,0.55058,0.60258,0.47206,0.61085,2.4999
0.70707,0.59589,0.42321,1.3897,0.51144,0.56458,0.75323,0.57075,0.62721,0.51058,0.62618,2.5446
0.633,0.60919,0.43238,1.4358,0.517,0.56913,0.76931,0.58142,0.64028,0.53251,0.63488,2.5684
0.62787,0.62172,0.44072,1.4789,0.52217,0.60001,0.7844,0.59118,0.65223,0.55245,0.64306,2.59
0.67572,0.63292,0.44779,1.5154,0.52656,0.5999,0.7981,0.60112,0.66395,0.56934,0.65074,2.612
0.70663,0.64048,0.45234,1.5389,0.52939,0.61111,0.80745,0.6085,0.67244,0.58022,0.65612,2.6282
0.77494,0.65511,0.46105,1.5839,0.53531,0.66748,0.82559,0.6226,0.68867,0.60104,0.66656,2.6592
0.83024,0.6858,0.4787,1.6971,0.54751,0.67554,0.86309,0.64918,0.71919,0.63968,0.68843,2.7178
0.8666,0.74438,0.54724,1.9567,0.57598,0.77762,0.9355,0.70449,0.78041,0.70194,0.73362,2.8455
1.0108,0.82481,0.67045,2.2844,0.61816,0.93924,1.0392,0.78243,0.86825,0.82692,0.80379,3.0528
1.0896,0.88224,0.76942,2.5022,0.64978,1.0636,1.1192,0.84161,0.935,0.9404,0.86111,3.2315
1.0709,0.92424,1.1174,2.71,0.67443,1.1331,1.1799,0.88452,0.98143,0.93616,0.9057,3.3638
1.2427,0.99222,1.4141,2.9701,0.72299,1.3068,1.2823,0.96947,1.064,0.90417,0.98614,3.6219
1.3898,1.0828,1.5926,3.3122,0.79308,1.7043,1.3999,1.1091,1.1807,0.93411,1.1034,4.0139
1.4248,1.1843,1.8269,3.6932,0.87645,1.9683,0.9972,1.267,1.319,1.0028,1.2417,4.4961
1.6771,1.2776,2.0534,4.0306,0.95503,2.1769,1.2272,1.4011,1.4468,1.083,1.3693,4.9415
1.9074,1.3437,2.2262,4.2692,1.0083,2.3765,1.1869,1.4925,1.5381,1.1457,1.4576,5.2537
1.9034,1.4019,2.3831,4.4536,1.0529,2.0985,1.0914,1.5679,1.6213,1.2035,1.5332,5.5318
1.8466,1.4654,2.5512,4.6713,1.1008,2.6084,1.727,1.646,1.7108,1.2666,1.6132,5.825
1.873,1.5175,2.6911,4.8311,1.1399,2.9007,1.5519,1.7097,1.7854,1.3189,1.6769,6.0644
1.8197,1.5528,2.7785,4.9312,1.1664,2.817,1.7117,1.7496,1.832,1.355,1.7202,6.2138
1.8154,1.6112,2.9377,5.117,1.2077,3.2613,2.4453,1.8527,1.9193,1.4136,1.7875,6.4822
2.4291,1.6953,3.1512,5.3622,1.2643,3.7231,1.553,2.0017,2.0371,1.4972,1.8829,6.8407
2.4678,1.8592,3.5485,5.8134,1.3719,3.5682,2.381,2.2606,2.2588,1.657,2.0597,7.4907
2.642,2.3019,4.2407,6.5543,1.5466,3.6204,2.9477,2.5976,2.6559,1.9263,2.3467,8.587
3.9527,2.7741,5.0882,7.4196,1.7453,4.148,3.6179,2.7827,3.1587,2.2503,2.6778,9.8801
4.4486,3.113,6.0916,8.4196,1.973,4.3161,5.7592,2.8026,3.6446,2.6327,3.0581,11.335
4.6848,4.5783,7.2811,9.5735,2.2334,5.9754,4.2806,3.1677,3.4823,3.0794,3.4917,13.043
4.8333,5.0374,8.7121,10.903,2.5305,8.8034,4.7203,4.754,4.881,3.5995,3.9871,15.02
4.8341,6.3603,10.395,12.43,2.868,4.3543,6.8883,5.8036,3.5283,4.2031,4.5504,17.258
6.449,5.1097,12.345,14.166,3.2484,15.601,10.955,5.6703,9.3487,4.895,5.1871,19.783
9.3985,4.0872,14.672,16.149,3.6793,17.276,5.934,7.8023,5.1303,5.6878,5.9085,22.707
10.469,15.206,11.444,18.438,4.173,8.927,9.5269,6.3751,7.4978,6.6118,6.7367,26.009
13.865,2.2147,14.569,21.052,4.7338,18.925,20.733,6.9917,10.669,7.6704,7.6781,29.8
13.561,27.501,14.22,23.908,5.369,21.795,34.619,4.7408,11.751,8.7869,8.7453,34.157
14.756,21.908,34.853,25.727,6.091,27.228,24.497,13.216,1.3281,12.899,10.906,39.015
9.6557,34.307,18.747,29.577,6.9022,27.686,107.54,14.316,12.604,14.69,10.311,44.568
24.616,0.071889,34.499,36.114,7.8835,50.629,0.31518,5.2917,86.635,16.139,17.973,46.034
19.751,59.358,43.766,36.274,8.9387,53.999,215.5,8.4137,4.5165,18.202,26.906,45.325
37.048,26.195,74.359,39.185,10.139,3.5673,0.96275,9.42,0.058676,26.079,5.2451,63.413
22.025,0.071827,42.997,55.075,11.498,18.146,0.27769,19.431,2.7206,21.146,10.693,58.715
