U234,U235,U236,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
2.1586,7.6781,1.6375,1.6181,7.7144,8.0098,7.1493,7.5371,5.0447,3.4144,6.687,2.462,9.1657,1.9307,3.6289,7.1852,10.832,6.5181
2.2614,7.8887,1.7231,1.2196,8.0756,8.3767,7.5504,7.8847,5.3272,3.8124,6.1558,1.6026,9.6764,2.0487,3.8637,7.3987,11.394,6.8787
2.4596,8.7672,1.89,1.7924,8.7407,9.074,8.2747,8.5476,5.8688,4.5512,7.006,2.7421,10.535,2.271,4.3065,8.2014,12.433,7.5325
3.0111,9.5875,2.339,1.5972,9.8329,10.204,9.4864,9.6251,6.7669,5.0038,8.2947,3.1807,11.749,2.6691,5.0368,9.5813,14.112,8.6352
3.2658,12.154,2.8195,2.4354,11.109,11.487,10.904,10.849,7.8115,5.9624,10.514,3.6665,12.752,3.1732,5.9007,10.687,16.042,9.9359
4.1149,13.519,3.1652,3.0925,12.583,12.955,12.504,12.254,9.0367,7.7543,9.9445,6.4983,12.81,3.7808,6.9089,12.478,18.249,11.399
2.8836,16.455,4.6587,3.4073,14.285,14.632,14.315,13.861,10.461,9.3955,10.069,4.3234,14.534,3.5061,8.0762,14.415,20.759,13.117
8.3607,19.354,5.131,3.4389,16.244,16.544,15.182,15.696,12.11,10.462,24.124,4.74,21.443,4.9056,9.4256,16.125,23.618,15.105
4.2053,17.46,6.4847,2.4701,18.496,18.717,15.964,17.782,14.009,9.4282,11.97,6.9311,26.001,3.532,10.984,19.432,26.861,17.357
9.7707,21.61,5.2311,4.589,21.053,21.161,20.11,20.132,16.183,26.252,28.223,11.022,28.741,9.391,12.762,22.496,30.52,19.896
3.4425,32.828,4.1622,7.0247,23.975,23.93,25.699,22.794,18.659,15.471,34.394,5.9485,35.296,5.1502,14.793,24.888,34.661,22.837
24.851,29.96,15.513,15.896,27.346,27.101,28.306,25.845,21.531,26.081,28.184,9.5478,37.921,7.5114,17.153,27.359,39.407,26.158
14.64,35.093,2.2543,3.0548,31.195,30.706,25.954,29.312,24.798,16.02,36.764,20.824,33.98,10.685,19.849,34.868,44.796,29.97
17.55,36.465,27.725,35.079,35.517,34.783,27.817,33.238,28.548,60.658,42.977,34.64,20.996,11.77,22.684,37.521,50.899,34.352
33.15,38.021,22.277,4.0704,42.142,39.416,54.516,37.7,32.847,27.17,70.874,24.516,58.563,1.3293,39.323,32.56,65.331,39.238
26.279,33.318,34.782,37.652,48.45,44.623,48.867,42.714,37.675,8.1458,91.98,107.73,51.05,12.621,44.782,42.576,80.943,44.824
45.362,79.615,0.073699,0.13536,59.159,50.921,72.927,48.78,43.546,5.8423,111.56,0.31531,40.136,86.642,49.201,44.217,98.537,46.294
3.7706,52.828,61.321,2.3308,59.421,57.694,59.379,55.303,49.863,0.039795,71.294,215.56,42.559,4.5165,55.491,43.648,73.841,45.406
95.715,91.54,26.43,161.65,64.189,65.395,54.736,62.722,57.089,1.4175,7.515,0.96311,69.444,0.058699,79.503,53.253,58.348,63.528
